INFO:werkzeug: * Detected change in '/home/cserv1_a/soc_msc/sc21ak/Webdev/cwk2/app/views.py', reloading
2022-12-15 08:14:19,649 INFO werkzeug Thread-14 : 127.0.0.1 - - [15/Dec/2022 08:14:19] "[32mGET /logout HTTP/1.1[0m" 302 -
2022-12-15 08:14:19,652 INFO werkzeug Thread-15 : 127.0.0.1 - - [15/Dec/2022 08:14:19] "GET / HTTP/1.1" 200 -
2022-12-15 08:14:19,677 INFO werkzeug Thread-16 : 127.0.0.1 - - [15/Dec/2022 08:14:19] "[36mGET /static/js/scripts.js HTTP/1.1[0m" 304 -
2022-12-15 08:14:19,677 INFO werkzeug Thread-17 : 127.0.0.1 - - [15/Dec/2022 08:14:19] "GET /static/bags.jpg HTTP/1.1" 200 -
2022-12-15 08:14:19,678 INFO werkzeug Thread-18 : 127.0.0.1 - - [15/Dec/2022 08:14:19] "GET /static/sld2.jpg HTTP/1.1" 200 -
2022-12-15 08:14:19,679 INFO werkzeug Thread-19 : 127.0.0.1 - - [15/Dec/2022 08:14:19] "GET /static/sld3.jpg HTTP/1.1" 200 -
2022-12-15 08:14:21,510 INFO werkzeug Thread-20 : 127.0.0.1 - - [15/Dec/2022 08:14:21] "GET /login HTTP/1.1" 200 -
2022-12-15 08:14:21,531 INFO werkzeug Thread-21 : 127.0.0.1 - - [15/Dec/2022 08:14:21] "GET /static/css/styles.css HTTP/1.1" 200 -
2022-12-15 08:14:21,532 INFO werkzeug Thread-22 : 127.0.0.1 - - [15/Dec/2022 08:14:21] "[36mGET /static/js/scripts.js HTTP/1.1[0m" 304 -
2022-12-15 08:14:23,903 INFO werkzeug Thread-23 : 127.0.0.1 - - [15/Dec/2022 08:14:23] "GET / HTTP/1.1" 200 -
2022-12-15 08:14:23,913 INFO werkzeug Thread-24 : 127.0.0.1 - - [15/Dec/2022 08:14:23] "GET /static/js/scripts.js HTTP/1.1" 200 -
